"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","home_team_parent_org","away_team_parent_org"
"SL",2024-03-31,83.6,-0.82,6.49,"Elder, Bryce",641505,693821,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Jonathan Davis strikes out swinging.","R","R","R","JAX","GWN","S",2,"",3,2,2024,0.15,-0.06,1.25,1.56,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,592205,NA,NA,4.43519298685966,-121.603688664111,-4.78341337768459,0.648726055210543,24.1568452093136,-32.010297313326,3.02,1.53,NA,NA,NA,83,NA,6,753091,693821,592205,595943,664058,664670,623205,544725,679881,621450,54.55,NA,0,0,1,0,0,NA,49,6,"Slider",0,5,0,5,5,0,0,5,"Standard","Standard",NA,-0.003,-0.129,NA,NA,"Miami Marlins","Atlanta Braves"
"SL",2024-03-31,84,-0.95,5.57,"Hoffmann, Andrew",670237,694851,"strikeout","called_strike",NA,NA,NA,NA,14,"Jake Slaughter called out on strikes.","R","R","R","OMA","IOW","S",2,"",0,2,2024,0.65,0.23,0.84,1.88,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,682515,NA,NA,2.89302927422335,-122.353214702112,-2.64452569108342,5.95783100989901,23.346395658421,-29.5974296598159,3.27,1.65,NA,NA,NA,85.3,2408,7,752640,694851,682515,668472,686475,680769,687478,670231,671221,694355,53.52,NA,0,0,1,0,0,NA,34,3,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",82,0.008,-0.053,NA,NA,"Kansas City Royals","Chicago Cubs"
"FF",2024-03-31,90.2,1.52,6.36,"Carpenter, Ryan",687597,543001,"","foul",NA,NA,NA,NA,12,"Jordan Beck triples (1) on a sharp line drive to center fielder Tim Locastro.","R","R","L","ABQ","ELP","S",NA,"",1,2,2024,0.35,0.95,0.45,3.47,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,608700,NA,NA,-3.40581051422363,-131.564068575898,-3.42226640765675,4.71697797204662,21.3750487724518,-20.5319648940834,3.29,1.66,239,75.7,56,91.4,2136,6.4,752117,543001,608700,664954,676946,687867,669200,672359,641796,668751,54.12,NA,NA,NA,NA,NA,NA,NA,44,7,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard",146,0,0,NA,NA,"Colorado Rockies","San Diego Padres"
"FF",2024-03-31,92.2,-0.9,5.82,"Dallas, Chad",675656,689149,"","ball",NA,NA,NA,NA,14,"Kevin Smith strikes out swinging.","R","R","R","BUF","SWB","B",NA,"",0,2,2024,0,0.79,1.31,2.19,NA,702332,677592,2,5,"Top",NA,NA,NA,NA,668721,NA,NA,5.61475956526782,-134.291287827058,-5.20895471473213,-1.11192774378313,26.3533604710895,-21.6466086122757,3.16,1.59,NA,NA,NA,92.8,2087,6.4,753613,689149,668721,687462,671088,680718,677870,672463,686490,683770,54.12,NA,NA,NA,NA,NA,NA,NA,41,4,"4-Seam Fastball",1,3,3,1,3,1,3,1,"Infield shade","Strategic",183,0,0.075,NA,NA,"Toronto Blue Jays","New York Yankees"
"CU",2024-03-31,78.7,-0.94,6.3,"Priester, Quinn",674441,682990,"","ball",NA,NA,NA,NA,14,"Bats challenged (pitch result), call on the field was overturned: Jacob Hurtubise walks.","R","L","R","LOU","IND","B",NA,"",2,2,2024,0.51,-0.85,0.22,1.25,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,670190,NA,NA,1.57739555996309,-114.710104195112,-2.6000024272033,4.1842927121972,20.65719031486,-39.4314610270311,3.14,1.59,NA,NA,NA,78.7,2587,6.2,752938,682990,670190,682650,678894,642727,693304,640460,665482,641943,54.34,NA,NA,NA,NA,NA,NA,NA,45,5,"Curveball",0,3,0,3,3,0,0,3,"Standard","Standard",50,0,0.041,NA,NA,"Cincinnati Reds","Pittsburgh Pirates"
"SI",2024-03-31,91,-2.57,5.91,"Sampson, Adrian",694376,592716,"","foul",NA,NA,NA,NA,8,"Shay Whitcomb flies out to left fielder Trevor Hauver.","R","R","R","RR","SUG","S",NA,"",2,2,2024,-1.11,0.82,0.11,2.11,NA,NA,694175,1,5,"Top",NA,NA,NA,NA,669087,NA,NA,9.13906654101975,-132.248761804093,-5.4104396638728,-14.9255099401824,26.960512718883,-21.5503159716851,3.25,1.64,316,91.4,30,91.4,2001,6.5,751740,592716,669087,679822,622110,673995,680716,669386,609274,660758,53.99,NA,NA,NA,NA,NA,NA,NA,42,6,"Sinker",8,2,2,8,2,8,2,8,"Standard","Standard",229,0,0,NA,NA,"Texas Rangers","Houston Astros"
"CH",2024-03-31,85.6,-1.64,6.02,"Suárez, Albert",592348,544150,"","called_strike",NA,NA,NA,NA,1,"Niko Goodrum strikes out swinging.","R","L","R","NOR","DUR","S",NA,"",0,0,2024,-1.33,0.78,-0.34,3.22,NA,NA,678545,2,7,"Top",NA,NA,NA,NA,668974,NA,NA,5.79277873994104,-124.572964975441,-1.93157563075286,-15.0425056990671,23.5649877316427,-23.8681067153505,3.34,1.69,NA,NA,NA,86.5,2030,6.7,752715,544150,668974,695257,660636,691723,702616,681393,669065,677008,53.77,NA,NA,NA,NA,NA,NA,NA,63,1,"Changeup",1,16,16,1,16,1,16,1,"Standard","Standard",234,0,-0.051,NA,NA,"Baltimore Orioles","Tampa Bay Rays"
"FF",2024-03-31,94.4,-2.04,6.43,"Rutledge, Jackson",687551,671131,"","foul",NA,NA,NA,NA,11,"Drew Gilbert strikes out swinging.","R","L","R","SYR","ROC","S",NA,"",2,1,2024,-0.56,1.21,-0.2,3.49,NA,578428,676625,1,5,"Bot",NA,NA,NA,NA,686251,NA,NA,6.03828731112718,-137.529567563394,-4.74727915697229,-8.3579021229899,25.3064744593296,-15.8934084759665,3.06,1.54,251,75.7,48,94.9,2417,6.2,752338,671131,686251,660766,671117,666906,686639,695578,696285,663905,54.34,NA,NA,NA,NA,NA,NA,NA,44,4,"4-Seam Fastball",1,5,1,5,5,1,1,5,"Standard","Standard",225,0,-0.148,NA,NA,"New York Mets","Washington Nationals"
"FC",2024-03-31,87.8,-2.27,6.44,"Buchanan, David",687208,571527,"","ball",NA,NA,NA,NA,14,"Nathan Hickey homers (1) on a fly ball to center field.   Nick Sogard scores.","R","L","R","LHV","WOR","B",NA,"",0,0,2024,0.14,0.83,0.55,0.94,NA,NA,686765,2,4,"Top",NA,NA,NA,NA,605244,NA,NA,6.49164658444588,-127.503133585523,-8.84952599585592,0.245557609346472,25.242632368326,-21.5398692836212,3.22,1.63,NA,NA,NA,87.3,2312,6,753015,571527,605244,669742,665019,674951,664068,621311,670276,656669,54.51,NA,NA,NA,NA,NA,NA,NA,31,1,"Cutter",2,3,3,2,3,2,3,2,"Standard","Standard",204,0,0.041,NA,NA,"Philadelphia Phillies","Boston Red Sox"
"FF",2024-03-31,94,3.42,5.72,"Lodolo, Nick",640460,666157,"walk","ball",NA,NA,NA,NA,13,"Dustin Peterson walks.   Carter Bins to 2nd.","R","R","L","LOU","IND","B",NA,"",3,2,2024,1.57,0.88,-0.41,1.42,NA,NA,670190,1,5,"Top",NA,NA,NA,NA,642851,NA,NA,-13.3101984525333,-136.079592814691,-7.33101047513616,22.3841023053836,28.4557350474509,-19.7149892254664,3.26,1.65,NA,NA,NA,93.5,2422,6.2,752938,666157,642851,685127,688005,541650,570481,674441,694362,677956,54.31,NA,0.689131,0.7,1,0,0,NA,31,9,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",123,-0.036,0.33,NA,NA,"Cincinnati Reds","Pittsburgh Pirates"
